7:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:        267786      225794584  [B (java.base@21.0.12)
   2:        181935        4366440  java.lang.String (java.base@21.0.12)
   3:         83398        3338128  [Lorg.h2.value.Value;
   4:         82788        3311520  org.h2.value.ValueClob
   5:        115103        2762472  org.h2.value.ValueVarchar
   6:         82895        2652640  org.h2.result.DefaultRow
   7:         82667        2645344  org.h2.value.ValueTimestamp
   8:         72834        2330688  org.h2.value.TypeInfo
   9:         17403        2050328  java.lang.Class (java.base@21.0.12)
  10:          2243        2005000  [Ljdk.internal.vm.FillerElement; (java.base@21.0.12)
  11:         83252        1998048  java.lang.Long (java.base@21.0.12)
  12:         82926        1990224  org.h2.value.ValueBigint
  13:           498        1898720  [C (java.base@21.0.12)
  14:         57053        1825696  java.util.concurrent.ConcurrentHashMap$Node (java.base@21.0.12)
  15:         19284        1401264  [Ljava.lang.Object; (java.base@21.0.12)
  16:         82788        1324608  org.h2.value.lob.LobDataInMemory
  17:           485         732528  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@21.0.12)
  18:          8197         669656  [I (java.base@21.0.12)
  19:         36996         591936  java.lang.Object (java.base@21.0.12)
  20:         11636         465440  java.util.LinkedHashMap$Entry (java.base@21.0.12)
  21:          5763         448944  [Ljava.util.HashMap$Node; (java.base@21.0.12)
  22:          4895         430760  java.lang.reflect.Method (java.base@21.0.12)
  23:          3630         409568  [Ljava.lang.Long; (java.base@21.0.12)
  24:         12337         394784  java.util.HashMap$Node (java.base@21.0.12)
  25:          3496         391912  [Lorg.h2.value.VersionedValue;
  26:          5430         347520  java.util.LinkedHashMap (java.base@21.0.12)
  27:          6005         288240  java.lang.invoke.MemberName (java.base@21.0.12)
  28:             1         262160  [Lorg.h2.mvstore.MVMap;
  29:          9837         236088  java.util.ArrayList (java.base@21.0.12)
  30:          4687         187480  java.lang.invoke.MethodType (java.base@21.0.12)
  31:          3546         170208  org.h2.mvstore.Page$Leaf
  32:          4866         155712  jdk.internal.util.WeakReferenceKey (java.base@21.0.12)
  33:          3099         148752  java.util.HashMap (java.base@21.0.12)
  34:          5383         144936  [Ljava.lang.Class; (java.base@21.0.12)
  35:          2996         119840  java.lang.ref.SoftReference (java.base@21.0.12)
  36:          3704         118528  org.h2.mvstore.Page$PageReference
  37:          2613         104520  org.antlr.v4.runtime.atn.BasicState
  38:          4148          99552  java.lang.invoke.ResolvedMethodName (java.base@21.0.12)
  39:          1954          93792  org.apache.tomcat.util.buf.ByteChunk
  40:          1592          89152  org.springframework.core.ResolvableType
  41:          2771          88672  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@21.0.12)
  42:          1800          86400  org.apache.tomcat.util.buf.CharChunk
  43:          2689          86048  org.antlr.v4.runtime.atn.ATNConfig
  44:          1750          84000  org.apache.tomcat.util.buf.MessageBytes
  45:          2090          83600  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@21.0.12)
  46:          1853          80872  [Ljava.lang.String; (java.base@21.0.12)
  47:          1901          76040  java.lang.invoke.DirectMethodHandle (java.base@21.0.12)
  48:          1445          69360  java.lang.invoke.DirectMethodHandle$Constructor (java.base@21.0.12)
  49:          2672          64128  org.antlr.v4.runtime.atn.EpsilonTransition
  50:           128          59392  [Lorg.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry;
  51:          2428          58272  java.util.ImmutableCollections$List12 (java.base@21.0.12)
  52:          1452          58080  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@21.0.12)
  53:          1802          57664  java.lang.invoke.LambdaForm$Name (java.base@21.0.12)
